"0","66","1679","1983-05-27 11:13:20"
"1","66","1947","1981-07-07 14:26:26"
"2","48","1984","2011-02-08 20:06:54"
"3","20","112","2013-11-03 01:26:18"
"4","99","1984","2006-11-17 17:48:16"
"5","89","437","1987-09-02 13:06:13"
"6","93","1966","2009-12-30 05:08:16"
"7","10","747","2004-11-19 07:50:30"
"8","77","1930","1974-09-12 02:15:25"
"9","97","1319","1998-11-07 06:14:01"
"10","45","1182","1984-03-31 22:28:43"
"11","77","1144","2023-04-28 13:58:49"
"12","64","1751","2019-01-23 21:27:51"
"13","33","479","2018-01-17 17:07:57"
"14","38","937","1987-03-06 02:03:16"
"15","90","553","2012-02-05 04:58:53"
"16","6","355","1970-01-17 09:43:37"
"17","80","955","2011-09-13 23:49:54"
"18","11","1842","1995-09-19 09:30:32"
"19","71","775","1981-09-01 07:55:02"
"20","29","1207","1972-01-17 16:28:11"
"21","51","208","2021-10-23 04:36:39"
"22","56","375","1993-03-22 21:57:26"
"23","75","15","2015-08-10 14:05:15"
"24","76","114","2013-03-01 07:36:46"
"25","58","588","1996-05-20 17:58:59"
"26","91","1161","2005-01-02 11:30:26"
"27","17","1744","2009-04-26 11:21:31"
"28","79","666","2011-01-25 03:15:38"
"29","81","1247","2006-09-23 18:59:42"
"30","80","1107","2007-06-02 09:33:47"
"31","30","609","2021-05-20 04:48:57"
"32","94","208","1994-03-03 07:21:02"
"33","12","674","2003-07-28 13:02:39"
"34","16","402","2002-04-03 02:25:57"
"35","50","812","1996-05-02 22:32:25"
"36","72","458","1977-04-04 22:47:44"
"37","84","1918","1993-09-08 00:12:06"
"38","50","1730","2014-12-04 22:22:57"
"39","3","1835","2007-06-07 21:53:05"
"40","9","456","2017-12-30 14:08:59"
"41","43","1957","1983-11-20 20:36:10"
"42","84","1717","1990-04-28 23:36:21"
"43","67","1362","2004-07-04 10:06:42"
"44","84","644","1977-04-12 02:59:03"
"45","58","604","2014-03-05 06:11:07"
"46","14","676","2014-01-08 14:16:22"
"47","1","261","2010-12-13 13:12:16"
"48","50","67","1997-03-01 08:52:40"
"49","33","1007","2023-04-24 15:36:56"
"50","49","1569","2023-03-10 13:52:52"
"51","21","955","2009-10-13 14:44:21"
"52","75","14","2012-09-23 16:14:24"
"53","19","1612","1979-03-27 00:29:35"
"54","50","344","1977-01-13 19:31:30"
"55","55","1965","2018-03-16 13:58:47"
"56","25","1488","2013-03-06 23:57:57"
"57","96","159","1992-10-25 16:18:45"
"58","54","589","1992-01-08 08:58:35"
"59","33","1419","2023-10-29 13:02:20"
"60","68","937","1970-04-26 22:34:40"
"61","98","1878","1970-06-04 13:20:48"
"62","45","1122","1975-07-24 08:19:15"
"63","75","193","2014-04-17 00:48:25"
"64","4","266","2013-03-15 06:05:19"
"65","21","609","1984-03-03 10:34:53"
"66","33","188","1990-02-16 19:17:31"
"67","92","632","2021-04-07 15:29:13"
"68","31","931","1976-12-01 19:25:43"
"69","14","476","1977-11-09 22:23:40"
"70","47","380","1988-12-10 16:55:19"
"71","49","1323","1971-11-26 15:55:09"
"72","8","1378","1975-06-30 20:21:07"
"73","18","723","1973-08-20 17:21:29"
"74","57","1606","1972-09-09 15:26:09"
"75","2","1346","2023-12-25 14:55:12"
"76","13","1768","2020-12-07 12:29:39"
"77","45","609","1971-06-04 06:39:01"
"78","44","427","1974-12-31 16:20:17"
"79","51","882","1993-01-13 10:50:03"
"80","16","217","1997-04-16 19:56:31"
"81","76","1619","1986-03-05 08:06:58"
"82","2","1184","1975-07-14 01:20:10"
"83","33","1950","1970-09-26 11:19:31"
"84","15","1395","2022-03-20 17:59:06"
"85","45","749","1979-09-20 22:26:13"
"86","83","1416","2016-12-13 19:58:46"
"87","33","276","2010-01-18 01:03:31"
"88","51","647","2000-04-15 02:00:31"
"89","58","1464","1999-04-02 17:33:56"
"90","33","76","2000-10-15 00:35:13"
"91","44","110","1989-12-21 05:56:27"
"92","58","866","1977-03-02 18:40:07"
"93","70","1963","1972-11-01 14:44:26"
"94","14","972","1993-11-03 15:25:35"
"95","81","1740","2007-12-22 20:08:20"
"96","45","567","2019-11-10 00:21:48"
"97","71","773","2006-02-22 11:48:53"
"98","48","582","1996-05-06 23:47:01"
"99","81","1764","2011-01-05 05:02:03"
"100","30","934","2002-08-13 03:05:54"
"101","92","1806","1974-07-16 23:29:21"
"102","30","1170","2001-12-23 18:05:50"
"103","2","1578","2012-08-03 10:55:09"
"104","54","688","2017-03-10 16:28:59"
"105","36","653","2017-12-15 15:37:58"
"106","87","277","2013-09-02 18:06:21"
"107","82","449","1988-12-09 08:52:33"
"108","91","647","2020-12-06 20:11:26"
"109","97","334","1972-01-22 01:27:52"
"110","32","1224","1970-11-14 03:14:47"
"111","50","1333","2005-01-26 09:40:48"
"112","55","716","1974-03-21 15:42:26"
"113","36","685","2003-11-05 11:18:07"
"114","36","1072","1977-06-26 01:19:39"
"115","19","970","1973-01-24 06:44:03"
"116","99","404","1976-07-23 11:39:47"
"117","58","1135","1971-02-23 06:09:21"
"118","85","1281","2021-08-21 03:21:24"
"119","87","451","2015-12-09 09:22:35"
"120","78","728","1992-09-06 12:45:22"
"121","74","1007","1978-07-06 01:22:30"
"122","97","553","2022-07-10 00:12:35"
"123","79","752","2008-10-23 07:43:59"
"124","21","1432","1973-06-06 16:42:50"
"125","44","1570","2016-08-28 04:52:58"
"126","97","1769","2012-09-30 07:30:02"
"127","92","1913","1994-03-02 05:04:13"
"128","35","1030","1980-05-24 05:59:55"
"129","90","323","1985-04-29 03:34:36"
"130","31","314","1971-08-24 01:37:32"
"131","76","439","1989-10-08 21:29:48"
"132","31","626","2003-07-27 17:42:45"
"133","95","1397","2018-07-08 11:47:04"
"134","94","151","1977-02-02 15:10:25"
"135","46","1355","2006-09-25 03:05:19"
"136","52","1198","1974-09-24 19:12:24"
"137","87","1242","2011-11-09 07:08:07"
"138","94","1957","2014-03-02 10:33:07"
"139","77","530","1973-11-27 04:07:23"
"140","83","1099","1987-07-13 08:31:57"
"141","77","162","2018-11-16 16:52:36"
"142","17","847","1973-09-12 13:05:28"
"143","24","1232","2006-03-25 14:49:01"
"144","66","1523","2012-06-19 23:52:52"
"145","62","1890","2021-09-25 05:22:51"
"146","13","1083","1987-11-13 03:01:14"
"147","1","1564","2024-06-12 22:39:15"
"148","60","1344","1990-05-17 18:29:54"
"149","32","1842","1984-09-18 13:51:57"
"150","66","1312","2009-03-09 04:22:22"
"151","53","1205","2002-02-15 19:35:02"
"152","53","1935","2009-06-04 14:30:30"
"153","93","337","2006-07-27 09:44:41"
"154","27","193","1978-01-14 02:33:40"
"155","65","554","1992-11-15 03:41:15"
"156","49","1438","1990-07-28 23:59:36"
"157","65","841","2000-12-18 02:09:17"
"158","19","1460","2013-10-15 13:45:36"
"159","4","1188","2016-04-02 14:44:31"
"160","22","1038","2020-12-11 17:48:15"
"161","46","1973","2003-09-25 02:33:12"
"162","25","28","2000-09-15 06:27:13"
"163","6","705","2019-01-27 22:22:50"
"164","40","1926","2020-11-16 02:41:58"
"165","70","1208","1979-04-14 23:58:39"
